name,latitude,longitude
가남,37.1976000,127.5353000
감곡장호원,37.1273000,127.6349000
강릉,37.7638000,128.8991000
경산,35.8193000,128.7281000
공주,36.3324531,127.0968531
광명,37.4163900,126.8850000
광주송정,35.1378000,126.7902000
김천(구미),36.1135000,128.1810000
나주,35.0142611,126.7169944
대전,36.3319000,127.4345000
동대구,35.8797000,128.6292000
동해,37.4979778,129.1227611
둔내,37.5100000,128.2211100
마산,35.2359000,128.5773000
만종,37.3540000,127.8931000
목포,34.7919000,126.3872000
묵호,37.5461000,129.1082000
문경,36.7197200,128.1108300
밀양,35.4753000,128.7702000
부발,37.2604000,127.4903000
부산,35.1150000,129.0421000
부전,35.1645560,129.0601722
서대구,35.8808300,128.5391700
서울,37.5547000,126.9707000
서원주,37.3498000,127.8370000
순천,34.9464000,127.5022000
신경주,35.7983000,129.1389000
안동,36.5748719,128.6750067
양평,37.4983300,127.4961100
영주,36.8109000,128.6257000
영천,35.9595000,128.9393000
오송,36.6208000,127.3278000
용산,37.5297000,126.9647000
울산(통도사),35.5507000,129.1379000
원주,37.3161100,127.9216700
익산,35.9416000,126.9458000
정동진,37.6914000,129.0333000
정읍,35.5756000,126.8425000
제천,37.1272000,128.2062000
진부(오대산),37.6425000,128.5747000
진영,35.3038000,128.7299000
진주,35.1500000,128.1180600
창원,35.2575390,128.6065260
창원중앙,35.2422677,128.7018634
천안아산,36.7944000,127.1045000
청량리,37.5808610,127.0483890
충주,36.9761100,127.9086100
태화강,35.5391700,129.3541700
판교(성남),37.3947611,127.1111361
평창,37.5622000,128.4300000
포항,36.0714000,129.3422000
행신,37.6121000,126.8339000
횡성,37.4827800,128.0102800
